full_text,Anger,Anticipation,Disgust,fear,joy,optimism,pessimism,sad,surprise,trust,neutral,ProG,AntiG,opinion
"#ModiHiAayega #LokSabhaElections2019 @AmitShah @NitishKumar @narendramodi ""10 kids breeder/Abbu"" whom you benefited mostly, will never vote you. Your natural voter was ""farmers, Middle class"" whom u ignored &amp; crushed by imposing heavy tax, this time 50% of them will not vote you",1,0,0,0,0,0,1,0,0,0,1,0,0,1
SA voters as they make doubly sure their ballot papers go into the ballot boxes properly 🗳👀 The poor @IECSouthAfrica official sitting by the boxes with that ruler suddenly becomes the most suspect person in the community 😂⚠️ #XseDay #elections2019 #ANC #DA #EFF https://t.co/S3LLqxOjad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voting more than once is a fraudulent activity. Anyone voted twice or more must be prosecuted #2019Elections details can be submitted to @IECSouthAfrica,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"@PiyushGoyal @narendramodi @abpnewstv #PMModiOnABP #LokSabhaElections2019 @AmitShah @NitishKumar @narendramodi ""10 kids breeder/Abbu"" whom you benefited mostly, will never vote you. Your natural voter was ""farmers, Middle class"" whom u ignored &amp; crush",1,0,0,0,0,0,1,0,0,0,0,0,1,1
We have been standing for two hours on the line. We are told they don't have forms to fill our addresses. Line is growing. #Elections2019 #ElectionDay https://t.co/AOZsTb3z2G,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"We don't want a ""Food Packet Delivery"" 
On which we are also expected to say Thankyou to the Gandhis.
We want a progressive nation with Development &amp; Infrastructure.",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"So we can’t vote because they are out of forms, we have to wait for the forms. Same province, just a different voting station from where we registered. @IECSouthAfrica y’all said we can vote anywhere ? #2019Elections #SAElections2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IEC encourages all registered voters to come out and use the last 4 fours remaining to vote. #IEC #Elections2019 #XseDay #VOTE19 
#SouthAfrica",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"During elections, politicians refuse to jump the queue but tell them to take away blue lights or use public transport, clinics and hospitals you will see their true colours #2019Elections #VoteBLF",1,0,0,0,0,0,0,0,0,0,0,0,0,1
#2019Elections It is important to vote for who you want not who you’re influenced by... don’t listen to influencers (they are paid to influence/ sell you a product(party)) or celebrities(distinguish between the love for his/her craft/art) not agreeing to what he/she says...,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Elections2019 #IEC says they will keep the voting stations open for stations that have experienced unrest if there are still people lining up after 9pm @TeamNews24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@rahulkanwal @IndiaToday It would be highly appreciated if you have asked their young views on Indian politics and development model. They are future of Indian politics and should not only debate on particular topics. Positive topics should also get place,0,0,0,0,0,1,0,0,0,0,0,0,0,0
@priyankagandhi yes include all your points with corruption and land scam of Mr.Robert Vadra too. All previous scams by Shiela Dixit &amp; other congress governments. Wake up lady your time this election over . #BhrashtacharDebate #BJPWinningAmethi #Aayeg,1,0,1,0,0,0,0,0,0,0,0,1,0,1
15 minutes! Fabulous process. Thanks @IECSouthAfrica. Also very happy my surname starts with a V or else it would have been a lot longer. #2019Elections #xse2019 https://t.co/xsgMePvnEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Modi and his consigliere, Amit Shah, have taken the Bharatiya Janata Party and turned  what was once a cadre-based organisation in to a special purpose vehicle for one man and his megalomania and fear"" #LokSabhaElections2019 

https://t.co/q1ikfgQ4t7",1,0,0,1,0,0,0,0,0,0,0,0,1,1
"#BSP national president #Mayawati on May 8 accused the #BJP of ignoring political decorum and casting aspersion on her relationship with her political ally, the #SamajwadiParty .

#LokSabhaElections2019 #Dangal2019 #GeneralElection2019 https://t.co/DzGSWrSTDR",0,0,0,0,0,0,0,0,0,0,1,0,0,1
#IEC media briefing underway. The IEC says voting continues in different voting stations. Masego Shiburi acknowledges that there has been setbacks in some voting due to “unrest”. #ElectionDay #Election2019 https://t.co/bfcVd1gssF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
So basically the IEC have no security measures in places to prevent fraudulent voting. In an erawhere evetging is digital you’d think their machine would detect if one had already voted. And we talk of 4IR 🤦🏾‍♂️🤦🏾‍♂️ #2019Elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@IECSouthAfrica briefing the media at the Results Operation Center in Pretoria. Tune in to @Newsbreak_Lotus on @Lotusfm  for updates! #SAElections2019 #Elections2019 https://t.co/NHmCcKemDo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#ElectionsWithNews18 – If you look through the speeches of @asadowaisi, he has been consistently anti-Congress (@INCIndia), Sanjaya Baru (Columnist/Author/Policy Analyst), tells @Zakka_Jacob on #FaceOff. https://t.co/rDhAql3Bmu",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"@ecrdrivetime @ecr9495 @gazza_jenks @RoryPetzer @bonganimtolo_ @MagsSouthAfrica #EastCoastDrive #SecretSound #2019Elections #SAElections2019 Voted this morning ❎, thinking of how far we have come as a democratic nation, what our people have fought for. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Elections2019 #IEC says they will keep the voting stations open for stations that have experienced unrest if there are still people lining up after 9pm (@azarrahk),0,0,0,0,0,0,0,0,0,0,0,0,0,0
